Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1882-04-30,5.78,0.32,0.4367,10.37091074,3.6225,159.19631374630848,8.81363674720047,12.02785989844514,14.916997168375303
1882-05-31,5.71,0.32,0.4358,10.46599504,3.6233333333333335,155.83953687790017,8.733564238341165,11.894022797090875,14.567103202191765
1882-06-30,5.68,0.32,0.435,10.56116033,3.6241666666666665,153.62389257469022,8.654867187306492,11.765210082744762,14.327404890131673
1882-07-31,6.0,0.32,0.4342,10.46599504,3.625,163.75432946889683,8.733564238341165,11.850354975899167,15.240559761217828
1882-08-31,6.18,0.32,0.4333,10.56116033,3.6258333333333335,167.14712255485662,8.654867187306492,11.719231100812197,15.525429331463037
1882-09-30,6.24,0.32,0.4325,10.27574545,3.626666666666667,173.4575937748633,8.895261219223759,12.022501491607112,16.08110662446232
1882-10-31,6.07,0.32,0.4317,10.18058017,3.6275,170.30924672734048,8.978411689085494,12.112438519306899,15.755581030526564
1882-11-30,5.81,0.32,0.4308,10.08541488,3.6283333333333334,164.55247897546084,9.063131372142422,12.201240609746735,15.19267031316535
1882-12-31,5.84,0.32,0.43,9.990330579,3.629166666666667,166.97638449587484,9.149390931280813,12.294494063908592,15.382128332081983
1883-01-31,5.81,0.3208,0.4275,9.990330579,3.63,166.11862909606725,9.172264408609015,12.223014447257961,15.270259119098581
1883-02-28,5.68,0.3217,0.425,10.08541488,3.629166666666667,160.87058185552797,9.111279257556927,12.036971353626653,14.757590146176229
1883-03-31,5.75,0.3225,0.4225,9.990330579,3.6283333333333334,164.4031182964521,9.220870547931446,12.080055213956697,15.051254121401644
1883-04-30,5.87,0.3233,0.42,9.895165289,3.6275,169.4482599359842,9.332644367513403,12.12406629865645,15.482067222036681
1883-05-31,5.77,0.3242,0.4175,9.8,3.626666666666667,168.17901428571426,9.449503714285713,12.168932142857141,15.335497637337072
1883-06-30,5.82,0.325,0.415,9.514585124,3.6258333333333335,174.72505824837265,9.75698349325105,12.458917383689803,15.9033883885838
1883-07-31,5.73,0.3258,0.4125,9.324254545,3.625,175.5345322353595,9.98065455537175,12.636648263016717,15.948783127017036
1883-08-31,5.47,0.3267,0.41,9.324254545,3.6241666666666665,167.56961454230654,10.008225424309241,12.560062515968133,15.196810876629856
1883-09-30,5.53,0.3275,0.4075,9.229089256,3.6233333333333335,171.15451115320758,10.136184882943125,12.612199510837627,15.494692425793463
1883-10-31,5.38,0.3283,0.405,9.229089256,3.6225,166.51198372590537,10.160945029222068,12.534824053715925,15.048056270223844
1883-11-30,5.46,0.3292,0.4025,9.134004959,3.621666666666667,170.74715056545656,10.29486482896489,12.587129689120196,15.408218142448872
1883-12-31,5.34,0.33,0.4,9.229089256,3.6208333333333336,165.2739764119581,10.213560340064827,12.380073139472517,14.896403941887167
1884-01-31,5.18,0.3283,0.3925,9.229089256,3.62,160.3219471561691,10.160945029222068,12.147946768107408,14.432821721970729
1884-02-29,5.32,0.3267,0.385,9.229089256,3.611666666666667,164.6549727549845,10.111424736664178,11.9158203967423,14.805960228816712
1884-03-31,5.3,0.325,0.3775,9.229089256,3.6033333333333335,164.03596909801084,10.058809425821421,11.683694025377187,14.736023454014473
1884-04-30,5.06,0.3233,0.37,9.038839669,3.5949999999999998,159.9042103774703,10.216804587951806,11.692600363569962,14.353453682579477
1884-05-31,4.65,0.3217,0.3625,8.848509091,3.586666666666667,150.10837264675192,10.384916877518297,11.701996792354315,13.465050313804907
1884-06-30,4.46,0.32,0.355,8.848509091,3.5783333333333336,143.97491225903516,10.330038547733464,11.459886513891812,12.906876483666863
1884-07-31,4.46,0.3183,0.3475,8.753424793,3.57,145.53884338148103,10.386774405454128,11.339629613243195,13.043931585991672
1884-08-31,4.74,0.3167,0.34,8.753424793,3.5616666666666665,154.6758111274036,10.334563161191712,11.094889405763126,13.859813341769323
1884-09-30,4.59,0.315,0.3325,8.658259504,3.5533333333333337,151.42729083071382,10.3920689785784,10.969406144054977,13.569154744335721
1884-10-31,4.44,0.3133,0.325,8.563094215,3.545,148.1065661730548,10.450852968922987,10.841133785189822,13.273251319134157
1884-11-30,4.35,0.3117,0.3175,8.372844628,3.536666666666667,148.4014997537107,10.633735051317615,10.831603717655897,13.304437602119727
1884-12-31,4.34,0.31,0.31,8.277679339,3.5283333333333333,149.76253962378811,10.69732425884201,10.69732425884201,13.432292746944759
1885-01-31,4.24,0.3042,0.3067,8.277679339,3.52,146.31178986287136,10.497180772708838,10.583449516731756,13.12981742563596
1885-02-28,4.37,0.2983,0.3033,8.372844628,3.5075,149.0838054997048,10.176590201501588,10.347166638000106,13.384817593597962
1885-03-31,4.38,0.2925,0.3,8.18251405,3.495,152.90067971224565,10.210833062975308,10.472649295359291,13.734194093452508
1885-04-30,4.37,0.2867,0.2967,8.277679339,3.4825,150.7977645520632,9.8932995645484,10.23837454064008,13.548548541030055
1885-05-31,4.32,0.2808,0.2933,8.087381157,3.4699999999999998,152.58010177150354,9.91770661514773,10.359199965181016,13.711371872561937
1885-06-30,4.3,0.275,0.29,7.897091074,3.4575,155.5332955502901,9.946896808448786,10.489454816182356,13.978784368698348
1885-07-31,4.46,0.2692,0.2867,7.992232066,3.445,159.40019127067225,9.62119540135986,10.246644582354648,14.326658777089325
1885-08-31,4.71,0.2633,0.2833,7.992232066,3.4325,168.33517957059783,9.410329677481613,10.125128741475661,15.130410796707151
1885-09-30,4.65,0.2575,0.28,7.897091074,3.42,168.19298239740675,9.313912466092953,10.12774947769331,15.116285028724239
1885-10-31,4.92,0.2517,0.2767,7.897091074,3.4075,177.959026536611,9.104123369769306,10.008386715991923,15.991023962168978
1885-11-30,5.24,0.2458,0.2733,7.992232066,3.3950000000000005,187.27735476644006,8.784880496486824,9.767729209478638,16.824034498619017
1885-12-31,5.2,0.24,0.27,8.18251405,3.3825000000000003,181.52592111956105,8.378119436287433,9.425384365823362,16.30447595227852
1886-01-31,5.2,0.2383,0.275,7.992232066,3.37,185.84775663845195,8.516830847489059,9.828487129918132,16.69231747079765
1886-02-28,5.3,0.2367,0.28,7.992232066,3.3825000000000003,189.42175195842216,8.459646922369533,10.007186895916645,17.006648259460995
1886-03-31,5.19,0.235,0.285,7.897091074,3.3950000000000005,187.72507067581526,8.500075454492597,10.308602146937831,16.84326610157013
1886-04-30,5.12,0.2333,0.29,7.801941983,3.4075,187.45166821115544,8.54149886594972,10.617379644772475,16.8017161312463
1886-05-31,5.02,0.2317,0.295,7.611651901,3.42,188.3852360368207,8.694991870464412,11.070447137621933,16.86319551509783
1886-06-30,5.25,0.23,0.3,7.51650281,3.4325,199.5104023648998,8.740455722652753,11.400594420851416,17.83149405537688
1886-07-31,5.33,0.2283,0.305,7.611651901,3.445,200.01858726618613,8.567400276335889,11.445716532117592,17.845845041532204
1886-08-31,5.37,0.2267,0.31,7.706792893,3.4575,199.03188801053977,8.402333149346251,11.48973655181887,17.723912799619267
1886-09-30,5.51,0.225,0.315,7.706792893,3.4699999999999998,204.22080129200637,8.33932491664273,11.67505488329982,18.147143925800023
1886-10-31,5.65,0.2233,0.32,7.706792893,3.4825,209.40971457347297,8.276316683939205,11.86037321478077,18.562381342866566
1886-11-30,5.79,0.2217,0.325,7.706792893,3.495,214.59862785493954,8.217014817865302,12.04569154626172,18.968312634942837
1886-12-31,5.64,0.22,0.33,7.801941983,3.5075,206.48972826385088,8.054563868448085,12.081845802672127,18.194057556886435
1887-01-31,5.58,0.2225,0.3325,7.992232066,3.52,199.42893885433884,7.952139586933762,11.883534438901014,17.512222096304953
1887-02-28,5.54,0.225,0.335,8.087381157,3.5324999999999998,195.66985273475223,7.946880300599144,11.832021780892058,17.12536659697231
1887-03-31,5.67,0.2275,0.3375,8.087381157,3.5450000000000004,200.2613835750984,8.0351789706058,11.920320450898716,17.473213711513754
1887-04-30,5.8,0.23,0.34,8.087381157,3.5575,204.8529144154446,8.123477640612457,12.008619120905372,17.82298363910071
1887-05-31,5.9,0.2325,0.3425,8.087381157,3.5700000000000003,208.38486121571086,8.211776310619115,12.096917790912029,18.075445427458238
1887-06-30,5.73,0.235,0.345,7.992232066,3.5825,204.78993183429418,8.398889001930039,12.330283853897292,17.707695663272983
1887-07-31,5.59,0.2375,0.3475,7.897091074,3.5949999999999998,202.19328421537713,8.59050178911486,12.569260512494374,17.43146053561307
1887-08-31,5.45,0.24,0.35,7.992232066,3.6075,194.78274493837753,8.577588767928551,12.508983619895805,16.739849614820702
1887-09-30,5.38,0.2425,0.3525,7.897091074,3.62,194.59747210710717,8.771354458359385,12.750113181738897,16.67662966738014
1887-10-31,5.2,0.245,0.355,7.992232066,3.6325,185.84775663845195,8.756288533927062,12.687683385894315,15.880666812517308
1887-11-30,5.3,0.2475,0.3575,8.087381157,3.6450000000000005,187.19318041411313,8.741568330659057,12.62670981095197,15.95071220106677
1887-12-31,5.27,0.25,0.36,8.277679339,3.6574999999999998,181.85451240031415,8.626874402291943,12.422699139300398,15.455513454469939
1888-01-31,5.31,0.2483,0.3517,8.372844628,3.67,181.1521755614262,8.470825836516406,11.998346543305761,15.3586625142599
1888-02-29,5.28,0.2467,0.3433,8.277679339,3.6516666666666664,182.19958737640584,8.51299966018169,11.846423929227297,15.41817831882053
1888-03-31,5.08,0.245,0.335,8.277679339,3.6333333333333337,175.2980878545723,8.454336914246104,11.560011699071206,14.808972366946563
1888-04-30,5.1,0.2433,0.3267,8.18251405,3.615,178.03503802110794,8.493318578536385,11.404715082646268,15.020108681844453
1888-05-31,5.17,0.2417,0.3183,8.087381157,3.5966666666666667,182.60164957376696,8.536715416243613,11.242186665247589,15.387916957229123
1888-06-30,5.01,0.24,0.31,7.992232066,3.578333333333333,179.0571655305085,8.577588767928551,11.079385491907713,15.077628818434684
1888-07-31,5.14,0.2383,0.3017,8.087381157,3.5600000000000005,181.54206553368707,8.41662922503456,10.655883496403385,15.279642515498166
1888-08-31,5.25,0.2367,0.2933,8.087381157,3.541666666666667,185.42720701398,8.360118076230298,10.359199965181016,15.6029116700888
1888-09-30,5.38,0.235,0.285,8.087381157,3.5233333333333334,190.01873785432616,8.300074980625771,10.066048380758913,15.987828821761415
1888-10-31,5.35,0.2333,0.2767,8.18251405,3.505,186.76224576724067,8.144230268691075,9.65927353341972,15.715941874329697
1888-11-30,5.24,0.2317,0.2683,8.277679339,3.486666666666667,180.81928747203915,7.995387196044172,9.258361608539714,15.223749016946275
1888-12-31,5.14,0.23,0.26,8.277679339,3.4683333333333333,177.36853771112234,7.936724450108588,8.971949378383622,14.946748301089219
1889-01-31,5.24,0.2292,0.2633,7.992232066,3.45,187.27735476644006,8.191597273371766,9.410329677481613,15.802286071028158
1889-02-28,5.3,0.2283,0.2667,7.897091074,3.4475000000000002,191.70382939919477,8.257732877704937,9.646681377502876,16.192720447848988
1889-03-31,5.19,0.2275,0.27,7.801941983,3.445,190.01448398747982,8.329151273054269,9.88514656582265,16.065045360769282
1889-04-30,5.18,0.2267,0.2733,7.801941983,3.4425,189.6483674480049,8.299861949896275,10.00596502384937,16.05010453396748
1889-05-31,5.32,0.2258,0.2767,7.611651901,3.4400000000000004,199.64331787169047,8.473582927711975,10.383704145694878,16.915421076068373
1889-06-30,5.41,0.225,0.28,7.611651901,3.4375,203.0207424221514,8.443561376152322,10.507543045878448,17.219302943947678
1889-07-31,5.3,0.2242,0.2833,7.611651901,3.4350000000000005,198.89277908269912,8.41353982459267,10.631381946062014,16.889214491107506
1889-08-31,5.37,0.2233,0.2867,7.611651901,3.4325,201.51966484416874,8.37976557908806,10.758973540190537,17.13185397534572
1889-09-30,5.5,0.2225,0.29,7.706792893,3.4299999999999997,203.85016462904446,8.246665750902254,10.748463225895073,17.35078802634859
1889-10-31,5.4,0.2217,0.2933,7.706792893,3.4275,200.14379799942552,8.217014817865302,10.870773324672498,17.053214402955483
1889-11-30,5.35,0.2208,0.2967,7.706792893,3.4250000000000003,198.29061468461597,8.18365751819873,10.996789790079546,16.906021170249367
1889-12-31,5.32,0.22,0.3,7.801941983,3.4225,194.7739990006537,8.054563868448085,10.983496184247388,16.610338076603387
